category_rank,pages,category,app,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,bytesFont,bytesHtmlDoc
1,22349356,Advertising Networks,Google AdSense,1500.38,107.57,517.03,32.15,532.45,39.87,14.31
2,7158387,Advertising Networks,DoubleClick Ad Exchange (AdX),1273.47,106.73,488.27,20.5,404.66,14.24,14.31
3,1059307,Advertising Networks,DoubleClick for Publishers (DFP),3026.29,90.01,799.31,71.27,1453.71,90.92,22.03
4,499687,Advertising Networks,Sizmek,2789.18,50.17,477.68,69.87,1662.61,76.99,20.35
5,489331,Advertising Networks,AppNexus,2240.14,49.75,481.27,52.3,1220.34,66.13,17.87
1,96359378,JavaScript Frameworks,jQuery,1757.61,37.51,334.13,42.69,968.25,40.31,15.52
2,20841239,JavaScript Frameworks,jQuery Migrate,2097.19,54.01,455.73,69.25,1059.72,96.65,16.5
3,17312455,JavaScript Frameworks,jQuery UI,1941.43,38.89,433.83,53.31,1053.9,48.5,17
4,14359428,JavaScript Frameworks,Modernizr,2109.61,35.07,396.53,64.59,1157.45,89.22,15.62
5,6463139,JavaScript Frameworks,Lightbox,2098.27,48.73,434.3,60.65,1141.04,67.03,17.4
1,5238973,Ecommerce,Magento,2313.07,30.85,473.87,72.39,1437.75,74.26,19.42
2,1611876,Ecommerce,WooCommerce,2456.12,42.36,465.63,120.27,1310.22,137.77,19.03
3,475664,Ecommerce,PrestaShop,1869.04,34.38,330.23,58.97,1208.36,87.01,20.85
4,463798,Ecommerce,OpenCart,2044.64,34.76,366.33,61.25,1262.13,75.21,17.79
5,444304,Ecommerce,osCommerce,1520.03,33.99,213.34,26.6,1001.69,0,17.77
1,35915799,Web Frameworks,Bootstrap,1894.8,34.41,359.89,65.15,1006.2,86.44,14.3
2,35463717,Web Frameworks,Microsoft ASP.NET,1461.44,34.96,261.36,32.41,812.85,2.53,19.11
3,2981835,Web Frameworks,animate.css,2393.48,33.98,400.71,90.65,1302.44,128.31,16.18
4,2523111,Web Frameworks,ZURB Foundation,2157.87,38.74,441.2,67.4,1170.06,88.51,16.08
5,956894,Web Frameworks,Ruby on Rails,1532.1,33.41,369.01,50.62,688.17,58.36,12.48
1,22129345,CMS,WordPress,1984.24,56.4,440.69,62.61,977.38,92.37,15.67
2,4997362,CMS,Drupal,1851.28,32.41,338.74,54.39,1043.25,59.6,14.41
3,2529821,CMS,Joomla,1894.22,42.22,420.11,61.98,1030.8,37.77,15.63
4,2392032,CMS,DNN,2010.24,47.14,450.82,64.84,1117.86,28.31,32.93
5,1232100,CMS,1C-Bitrix,2265.8,25.94,403.2,54.66,1416.34,47.83,16.53